Linux 5.19.0-45-generic (fedtest5-virt) 	24/06/23 	_x86_64_	(3 CPU)

06:34:39 AM IST     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:34:40 AM IST     all      0.34      0.00      0.34      0.00      0.00     99.33
06:34:41 AM IST     all      0.00      0.00      0.34      0.00      0.00     99.66
06:34:42 AM IST     all     25.66      0.00      6.58      1.97      0.00     65.79
06:34:43 AM IST     all     11.33      0.00      8.33      0.00      0.00     80.33
06:34:44 AM IST     all      0.34      0.00      0.00      0.00      0.00     99.66
06:34:45 AM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
06:34:46 AM IST     all      0.34      0.00      0.34      0.00      0.00     99.33
06:34:47 AM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
06:34:48 AM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
06:34:49 AM IST     all      0.33      0.00      0.33      0.00      0.00     99.33
06:34:50 AM IST     all      0.00      0.00      0.34      0.00      0.00     99.66
06:34:51 AM IST     all      0.67      0.00      0.00      0.00      0.00     99.33
06:34:52 AM IST     all      0.34      0.00      0.00      0.34      0.00     99.33
06:34:53 AM IST     all      0.33      0.00      0.67      0.00      0.00     99.00
06:34:54 AM IST     all      0.34      0.00      0.00      0.00      0.00     99.66
06:34:55 AM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
06:34:56 AM IST     all      0.00      0.00      0.34      0.00      0.00     99.66
06:34:57 AM IST     all      0.00      0.00      0.33      0.00      0.00     99.67
06:34:58 AM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
06:34:59 AM IST     all      0.34      0.00      0.00      0.00      0.00     99.66
06:35:00 AM IST     all      0.34      0.00      0.00      0.00      0.00     99.66
06:35:01 AM IST     all      0.00      0.00      0.67      0.00      0.00     99.33
06:35:02 AM IST     all      0.34      0.00      0.00      0.00      0.00     99.66
06:35:03 AM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
06:35:04 AM IST     all      0.00      0.00      0.67      0.33      0.00     99.00
06:35:05 AM IST     all      1.00      0.00      0.33      0.00      0.00     98.67
06:35:06 AM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
06:35:07 AM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
06:35:08 AM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
06:35:09 AM IST     all      0.00      0.00      0.34      0.00      0.00     99.66
06:35:10 AM IST     all      0.33      0.00      0.33      0.00      0.00     99.33
06:35:11 AM IST     all      0.00      0.00      0.34      0.00      0.00     99.66
06:35:12 AM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
