Linux 5.19.0-45-generic (aicfed-virtual-machine) 	24/06/23 	_x86_64_	(3 CPU)

01:04:40 AM IST     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:04:41 AM IST     all      0.34      0.00      0.34      0.00      0.00     99.33
01:04:42 AM IST     all      0.00      0.00      0.67      0.00      0.00     99.33
01:04:43 AM IST     all     22.67      0.00      5.33      5.33      0.00     66.67
01:04:44 AM IST     all     14.38      0.00      9.36      0.00      0.00     76.25
01:04:45 AM IST     all      0.34      0.00      0.00      0.00      0.00     99.66
01:04:46 AM IST     all      0.33      0.00      0.33      0.00      0.00     99.33
01:04:47 AM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
01:04:48 AM IST     all      0.66      0.00      0.66      0.00      0.00     98.68
01:04:49 AM IST     all      0.00      0.00      0.34      0.00      0.00     99.66
01:04:50 AM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
01:04:51 AM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
01:04:52 AM IST     all      0.00      0.00      0.33      0.00      0.00     99.67
01:04:53 AM IST     all      0.34      0.00      0.00      0.00      0.00     99.66
01:04:54 AM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
01:04:55 AM IST     all      0.00      0.00      0.34      0.00      0.00     99.66
01:04:56 AM IST     all      1.00      0.00      0.66      0.00      0.00     98.34
01:04:57 AM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
01:04:58 AM IST     all      0.33      0.00      0.00      0.00      0.00     99.67
01:04:59 AM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
01:05:00 AM IST     all      0.33      0.00      0.33      0.00      0.00     99.33
01:05:01 AM IST     all      0.33      0.00      1.33      0.00      0.00     98.33
01:05:02 AM IST     all      0.33      0.00      0.00      0.00      0.00     99.67
01:05:03 AM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
01:05:04 AM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
01:05:05 AM IST     all      0.00      0.00      0.66      0.00      0.00     99.34
01:05:06 AM IST     all      0.33      0.00      0.00      0.00      0.00     99.67
01:05:07 AM IST     all      0.33      0.00      0.00      0.00      0.00     99.67
01:05:08 AM IST     all      0.66      0.00      0.00      0.33      0.00     99.00
01:05:09 AM IST     all      0.34      0.00      0.00      0.00      0.00     99.66
01:05:10 AM IST     all      0.67      0.00      0.33      0.00      0.00     99.00
01:05:11 AM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
01:05:12 AM IST     all      0.00      0.00      0.33      0.00      0.00     99.67
01:05:13 AM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
