Linux 5.19.0-45-generic (aicfed) 	24/06/23 	_x86_64_	(4 CPU)

01:05:08 AM IST     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:05:09 AM IST     all      0.25      0.00      0.25      0.00      0.00     99.50
01:05:10 AM IST     all      0.75      0.50      1.00      0.50      0.00     97.26
01:05:11 AM IST     all     25.00      0.25      6.75      1.25      0.00     66.75
01:05:12 AM IST     all     16.54      0.00      6.77      0.00      0.00     76.69
01:05:13 AM IST     all      0.00      0.25      0.25      0.00      0.00     99.50
01:05:14 AM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
01:05:15 AM IST     all      0.50      0.50      0.50      0.25      0.00     98.25
01:05:16 AM IST     all      0.00      0.00      0.75      0.00      0.00     99.25
01:05:17 AM IST     all      0.00      0.00      0.25      0.00      0.00     99.75
01:05:18 AM IST     all      0.25      0.00      0.00      0.00      0.00     99.75
01:05:19 AM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
01:05:20 AM IST     all      0.00      0.00      0.50      0.00      0.00     99.50
01:05:21 AM IST     all      0.25      0.00      0.00      0.00      0.00     99.75
01:05:22 AM IST     all      0.25      0.00      0.25      0.00      0.00     99.50
01:05:23 AM IST     all      0.00      0.00      0.25      0.00      0.00     99.75
01:05:24 AM IST     all      0.25      0.00      0.25      0.00      0.00     99.50
01:05:25 AM IST     all      0.75      0.00      0.50      0.00      0.00     98.76
01:05:26 AM IST     all      0.00      0.00      0.25      0.00      0.00     99.75
01:05:27 AM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
01:05:28 AM IST     all      0.25      0.00      0.25      0.00      0.00     99.50
01:05:29 AM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
01:05:30 AM IST     all      0.25      0.00      0.00      0.00      0.00     99.75
01:05:31 AM IST     all      0.00      0.00      0.50      0.00      0.00     99.50
01:05:32 AM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
01:05:33 AM IST     all      0.25      0.00      0.25      0.00      0.00     99.50
01:05:34 AM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
01:05:35 AM IST     all      0.25      0.00      0.00      0.00      0.00     99.75
01:05:36 AM IST     all      0.25      0.00      0.25      0.00      0.00     99.50
01:05:37 AM IST     all      0.25      0.00      0.25      0.00      0.00     99.50
01:05:38 AM IST     all      0.25      0.00      0.25      0.00      0.00     99.50
01:05:39 AM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
01:05:40 AM IST     all      0.25      0.00      0.00      0.00      0.00     99.75
01:05:41 AM IST     all      0.25      0.00      0.25      0.00      0.00     99.50
01:05:42 AM IST     all      0.00      0.00      0.25      0.00      0.00     99.75
01:05:43 AM IST     all      0.25      0.25      0.00      0.00      0.00     99.50
01:05:44 AM IST     all      0.25      0.00      0.25      0.00      0.00     99.50
01:05:45 AM IST     all      0.00      0.25      0.00      0.00      0.00     99.75
01:05:46 AM IST     all      0.25      0.00      0.25      0.25      0.00     99.25
01:05:47 AM IST     all      0.00      0.25      0.25      0.00      0.00     99.50
01:05:48 AM IST     all      0.00      0.00      0.25      0.00      0.00     99.75
01:05:49 AM IST     all      0.50      0.00      0.00      0.25      0.00     99.25
01:05:50 AM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
01:05:51 AM IST     all      0.00      0.00      0.25      0.00      0.00     99.75
01:05:52 AM IST     all      0.00      0.00      0.50      0.00      0.00     99.50
01:05:53 AM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
01:05:54 AM IST     all      0.00      0.00      0.25      0.00      0.00     99.75
01:05:55 AM IST     all      0.25      0.00      0.25      0.00      0.00     99.50
01:05:56 AM IST     all      0.25      0.00      0.00      0.00      0.00     99.75
01:05:57 AM IST     all      0.25      0.00      0.50      0.00      0.00     99.25
01:05:58 AM IST     all      0.25      0.00      0.25      0.00      0.00     99.50
01:05:59 AM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
01:06:00 AM IST     all      0.25      0.00      0.50      0.00      0.00     99.25
01:06:01 AM IST     all      0.00      0.00      0.25      0.00      0.00     99.75
01:06:02 AM IST     all      0.25      0.00      0.00      0.00      0.00     99.75
01:06:03 AM IST     all      0.25      0.00      0.25      0.00      0.00     99.50
01:06:04 AM IST     all      0.00      0.00      0.75      0.00      0.00     99.25
01:06:05 AM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
01:06:06 AM IST     all      0.50      0.00      0.25      0.00      0.00     99.25
01:06:07 AM IST     all      0.76      0.00      1.27      0.00      0.00     97.96
01:06:08 AM IST     all     19.40      0.00     14.36      0.00      0.00     66.25
01:06:09 AM IST     all     56.78      0.00     38.19      0.00      0.00      5.03
01:06:10 AM IST     all     64.48      0.00     29.72      0.00      0.00      5.79
01:06:11 AM IST     all     62.94      0.00     32.59      0.00      0.00      4.48
01:06:12 AM IST     all     66.00      0.00     29.75      0.00      0.00      4.25
