Linux 5.19.0-45-generic (rachit-virtual-machine) 	24/06/23 	_x86_64_	(4 CPU)

01:05:51 AM IST     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:05:52 AM IST     all      0.51      0.00      0.25      0.00      0.00     99.24
01:05:53 AM IST     all      0.25      0.00      0.00      0.00      0.00     99.75
01:05:54 AM IST     all     20.00     18.02      7.65      0.00      0.00     54.32
01:05:55 AM IST     all     12.44     18.66     13.43      0.00      0.00     55.47
01:05:56 AM IST     all      0.00     19.95      5.49      0.00      0.00     74.56
01:05:57 AM IST     all      0.00     19.90      5.72      0.00      0.00     74.38
01:05:58 AM IST     all      0.00     19.15      6.47      0.00      0.00     74.38
01:05:59 AM IST     all      0.00     20.65      4.28      0.00      0.00     75.06
01:06:00 AM IST     all      2.49     11.94      6.97      0.00      0.00     78.61
01:06:01 AM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
01:06:02 AM IST     all      0.00      0.00      0.00      0.25      0.00     99.75
01:06:03 AM IST     all      0.00      0.00      0.25      0.00      0.00     99.75
01:06:04 AM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
01:06:05 AM IST     all      0.50      0.00      0.25      0.00      0.00     99.25
01:06:06 AM IST     all      0.00      0.00      0.76      0.00      0.00     99.24
01:06:07 AM IST     all      0.25      0.00      1.76      0.00      0.00     97.99
01:06:08 AM IST     all     50.13      0.00     22.78      0.00      0.00     27.09
01:06:09 AM IST     all     76.86      0.00      1.54      0.00      0.00     21.59
01:06:10 AM IST     all     76.46      0.00      1.77      0.00      0.00     21.77
01:06:11 AM IST     all     76.67      0.00      3.85      0.00      0.00     19.49
01:06:12 AM IST     all     74.75      0.00      5.50      0.00      0.00     19.75
01:06:13 AM IST     all      0.00      0.00      0.25      0.25      0.00     99.50
01:06:14 AM IST     all      0.00      0.00      0.25      0.00      0.00     99.75
01:06:15 AM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
01:06:16 AM IST     all      0.00      0.00      0.25      0.00      0.00     99.75
01:06:17 AM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
01:06:18 AM IST     all      0.25      0.00      0.00      0.00      0.00     99.75
01:06:19 AM IST     all      0.25      0.00      0.00      0.25      0.00     99.50
01:06:20 AM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
01:06:21 AM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
01:06:22 AM IST     all      0.25      0.00      0.75      0.00      0.00     99.00
01:06:23 AM IST     all      0.76      0.00      0.76      0.00      0.00     98.48
01:06:24 AM IST     all     34.34      0.00     19.70      0.00      0.00     45.96
01:06:25 AM IST     all     77.78      0.00      1.52      0.00      0.00     20.71
01:06:26 AM IST     all     77.04      0.00      4.34      0.00      0.00     18.62
01:06:27 AM IST     all     77.30      0.00      2.30      0.00      0.00     20.41
01:06:28 AM IST     all     89.42      0.00      1.51      0.00      0.00      9.07
01:06:29 AM IST     all      0.76      0.00      1.01      0.00      0.00     98.24
01:06:30 AM IST     all      0.00      0.00      0.25      0.00      0.00     99.75
01:06:31 AM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
01:06:32 AM IST     all      0.25      0.00      0.50      0.00      0.00     99.25
01:06:33 AM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
01:06:34 AM IST     all      0.00      0.00      0.25      0.00      0.00     99.75
01:06:35 AM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
01:06:36 AM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
01:06:37 AM IST     all      0.25      0.00      0.00      0.00      0.00     99.75
01:06:38 AM IST     all      0.25      0.00      0.00      0.00      0.00     99.75
01:06:39 AM IST     all      0.25      0.00      3.02      0.00      0.00     96.73
01:06:40 AM IST     all     55.30      0.00     26.77      0.00      0.00     17.93
01:06:41 AM IST     all     77.04      0.00      0.77      0.00      0.00     22.19
01:06:42 AM IST     all     78.97      0.00      1.54      0.00      0.00     19.49
01:06:43 AM IST     all     77.04      0.00      1.79      0.00      0.00     21.17
01:06:44 AM IST     all     68.34      0.00      1.26      0.00      0.00     30.40
01:06:45 AM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
01:06:46 AM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
01:06:47 AM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
01:06:48 AM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
01:06:49 AM IST     all      0.00      0.00      0.00      0.25      0.00     99.75
01:06:50 AM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
01:06:51 AM IST     all      0.00      0.00      0.25      0.00      0.00     99.75
01:06:52 AM IST     all      0.25      0.00      0.25      0.00      0.00     99.50
01:06:53 AM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
01:06:54 AM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
01:06:55 AM IST     all      0.00      0.00      0.25      0.00      0.00     99.75
01:06:56 AM IST     all     31.25      0.00     21.75      0.00      0.00     47.00
01:06:57 AM IST     all     77.10      0.00      2.80      0.00      0.00     20.10
01:06:58 AM IST     all     79.13      0.00      1.78      0.00      0.00     19.08
01:06:59 AM IST     all     80.10      0.00      1.76      0.00      0.00     18.14
01:07:00 AM IST     all     85.35      0.00      1.52      0.00      0.00     13.13
01:07:01 AM IST     all     11.39      0.00      0.51      0.00      0.00     88.10
01:07:02 AM IST     all      0.00      0.00      0.25      0.00      0.00     99.75
01:07:03 AM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
01:07:04 AM IST     all      0.00      0.00      0.25      0.00      0.00     99.75
