Linux 4.15.0-211-generic (133414165dce) 	06/24/23 	_x86_64_	(96 CPU)

00:32:06        CPU     %user     %nice   %system   %iowait    %steal     %idle
00:32:07        all      0.59      0.01      1.70      0.00      0.00     97.70
00:32:08        all      0.20      0.01      0.96      0.00      0.00     98.83
00:32:09        all      1.11      0.01      1.07      0.00      0.00     97.82
00:32:10        all      0.26      0.01      0.95      0.00      0.00     98.78
00:32:11        all      0.54      0.02      1.36      0.02      0.00     98.05
00:32:12        all      0.27      0.02      1.21      0.00      0.00     98.50
00:32:13        all      0.23      0.02      0.98      0.00      0.00     98.77
00:32:14        all      0.19      0.01      0.98      0.00      0.00     98.82
00:32:15        all      0.19      0.02      0.99      0.00      0.00     98.80
00:32:16        all      0.20      0.01      0.98      0.00      0.00     98.81
00:32:17        all      0.63      0.01      1.70      0.00      0.00     97.66
00:32:18        all      0.23      0.01      0.93      0.00      0.00     98.83
00:32:19        all      0.25      0.02      0.93      0.00      0.00     98.80
00:32:20        all      0.22      0.01      0.96      0.00      0.00     98.81
00:32:21        all      0.21      0.01      0.95      0.00      0.00     98.83
00:32:22        all      0.22      0.02      0.98      0.00      0.00     98.78
00:32:23        all      0.27      0.02      0.96      0.00      0.00     98.75
00:32:24        all      0.18      0.00      1.01      0.00      0.00     98.81
00:32:25        all      0.16      0.02      1.00      0.00      0.00     98.82
00:32:26        all      0.16      0.02      1.00      0.00      0.00     98.82
00:32:27        all      0.53      0.02      1.70      0.00      0.00     97.74
00:32:28        all      0.22      0.02      0.99      0.00      0.00     98.77
00:32:29        all      0.21      0.00      1.05      0.00      0.00     98.74
00:32:30        all      0.21      0.01      0.98      0.00      0.00     98.80
00:32:31        all      0.18      0.01      0.96      0.00      0.00     98.85
00:32:32        all      0.38      0.01      0.99      0.00      0.00     98.62
00:32:33        all      0.27      0.02      0.94      0.00      0.00     98.77
00:32:34        all      0.22      0.01      0.95      0.00      0.00     98.82
00:32:35        all      0.22      0.00      0.97      0.00      0.00     98.81
00:32:36        all      0.24      0.01      0.92      0.00      0.00     98.83
00:32:37        all      0.57      0.02      1.65      0.00      0.00     97.75
00:32:38        all      0.22      0.01      0.94      0.00      0.00     98.83
00:32:39        all      0.22      0.01      0.94      0.00      0.00     98.83
