Linux 5.19.0-45-generic (fedtest5-virt) 	29/06/23 	_x86_64_	(3 CPU)

11:16:27 PM IST     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:16:28 PM IST     all      0.67      0.00      0.33      0.00      0.00     99.00
11:16:29 PM IST     all      0.33      0.33      1.00      0.00      0.00     98.33
11:16:30 PM IST     all     18.27      2.33      4.65      1.99      0.00     72.76
11:16:31 PM IST     all      0.00      0.00      0.34      0.00      0.00     99.66
11:16:32 PM IST     all      0.00      0.00      0.67      0.00      0.00     99.33
11:16:33 PM IST     all      0.34      0.67      0.67      0.00      0.00     98.32
11:16:34 PM IST     all      0.34      0.00      0.00      0.00      0.00     99.66
11:16:35 PM IST     all      0.33      0.00      0.00      0.00      0.00     99.67
11:16:36 PM IST     all      0.33      0.00      0.67      0.00      0.00     99.00
11:16:37 PM IST     all      0.00      0.00      0.34      0.00      0.00     99.66
11:16:38 PM IST     all      0.00      0.00      0.33      0.00      0.00     99.67
11:16:39 PM IST     all      0.33      0.00      0.33      0.00      0.00     99.33
11:16:40 PM IST     all      0.33      0.00      1.00      0.00      0.00     98.66
11:16:41 PM IST     all      0.66      0.33      0.33      0.00      0.00     98.67
11:16:42 PM IST     all      0.00      0.00      0.67      0.00      0.00     99.33
11:16:43 PM IST     all      0.34      0.00      0.34      0.00      0.00     99.33
11:16:44 PM IST     all      0.33      0.00      0.33      0.00      0.00     99.33
11:16:45 PM IST     all      0.00      0.00      0.67      0.00      0.00     99.33
11:16:46 PM IST     all      0.34      0.00      0.34      0.00      0.00     99.33
11:16:47 PM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
11:16:48 PM IST     all      0.00      0.00      0.34      0.00      0.00     99.66
11:16:49 PM IST     all      0.33      0.00      0.33      0.00      0.00     99.33
11:16:50 PM IST     all      0.33      0.00      0.66      0.33      0.00     98.67
11:16:51 PM IST     all      0.67      0.00      0.00      0.00      0.00     99.33
11:16:52 PM IST     all      0.00      0.33      0.00      0.00      0.00     99.67
11:16:53 PM IST     all      0.67      0.00      1.00      0.00      0.00     98.33
11:16:54 PM IST     all      0.00      0.00      0.67      0.00      0.00     99.33
11:16:55 PM IST     all      0.33      0.00      1.00      0.00      0.00     98.67
11:16:56 PM IST     all      0.00      0.00      0.34      0.00      0.00     99.66
11:16:57 PM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
11:16:58 PM IST     all      0.00      0.00      0.34      0.00      0.00     99.66
11:16:59 PM IST     all      0.00      0.00      0.34      0.00      0.00     99.66
11:17:00 PM IST     all      0.34      0.00      0.34      0.00      0.00     99.33
11:17:01 PM IST     all      0.00      0.00      0.34      0.00      0.00     99.66
11:17:02 PM IST     all      0.34      0.00      0.34      0.00      0.00     99.33
11:17:03 PM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
11:17:04 PM IST     all      0.00      0.00      0.33      0.00      0.00     99.67
11:17:05 PM IST     all      0.00      0.00      0.34      0.00      0.00     99.66
11:17:06 PM IST     all      0.00      0.00      1.00      0.00      0.00     99.00
11:17:07 PM IST     all      0.34      0.00      0.00      0.00      0.00     99.66
11:17:08 PM IST     all      0.00      0.00      1.00      0.00      0.00     99.00
11:17:09 PM IST     all      0.34      0.00      0.34      0.00      0.00     99.33
11:17:10 PM IST     all      0.67      0.00      0.33      0.00      0.00     99.00
11:17:11 PM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
11:17:12 PM IST     all      0.00      0.00      0.34      0.00      0.00     99.66
11:17:13 PM IST     all      0.00      0.00      0.67      0.00      0.00     99.33
11:17:14 PM IST     all      0.34      0.00      0.00      0.00      0.00     99.66
11:17:15 PM IST     all      0.00      0.00      0.34      0.00      0.00     99.66
11:17:16 PM IST     all      0.00      0.00      0.34      0.00      0.00     99.66
11:17:17 PM IST     all      0.00      0.33      0.67      0.00      0.00     99.00
