Linux 5.19.0-45-generic (aicfed-virtual-machine) 	29/06/23 	_x86_64_	(3 CPU)

11:16:37 PM IST     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:16:38 PM IST     all      4.67      0.00      3.67      0.00      0.00     91.67
11:16:39 PM IST     all      3.99      0.66      4.98      1.00      0.00     89.37
11:16:40 PM IST     all     20.45      0.96      8.95      1.28      0.00     68.37
11:16:41 PM IST     all      4.38      0.00      3.03      0.00      0.00     92.59
11:16:42 PM IST     all      4.25      0.00      5.88      0.00      0.00     89.87
11:16:43 PM IST     all      3.73      1.69      4.75      0.00      0.00     89.83
11:16:44 PM IST     all      4.59      0.00      5.25      0.00      0.00     90.16
11:16:45 PM IST     all      3.32      0.00      5.32      0.00      0.00     91.36
11:16:46 PM IST     all      4.01      0.00      4.68      0.00      0.00     91.30
11:16:47 PM IST     all      4.33      0.00      4.00      0.00      0.00     91.67
11:16:48 PM IST     all      4.32      0.00      4.32      0.00      0.00     91.36
11:16:49 PM IST     all      4.07      0.00      4.07      0.00      0.00     91.86
11:16:50 PM IST     all      3.34      0.00      4.68      0.00      0.00     91.97
11:16:51 PM IST     all      5.05      0.00      2.69      0.00      0.00     92.26
11:16:52 PM IST     all      3.97      0.00      4.64      0.00      0.00     91.39
11:16:53 PM IST     all      4.03      0.00      4.03      0.00      0.00     91.95
11:16:54 PM IST     all      3.64      0.00      6.95      0.00      0.00     89.40
11:16:55 PM IST     all      3.65      0.00      4.98      0.00      0.00     91.36
11:16:56 PM IST     all      4.30      0.00      4.30      0.00      0.00     91.39
11:16:57 PM IST     all      4.35      0.00      4.01      0.00      0.00     91.64
11:16:58 PM IST     all      3.96      0.00      5.28      0.00      0.00     90.76
11:16:59 PM IST     all      4.68      0.00      3.68      0.00      0.00     91.64
11:17:00 PM IST     all      4.98      0.00      3.99      0.00      0.00     91.03
11:17:01 PM IST     all      3.65      0.00      5.65      0.00      0.00     90.70
11:17:02 PM IST     all      3.97      0.00      4.64      0.00      0.00     91.39
11:17:03 PM IST     all      4.65      0.00      5.32      0.00      0.00     90.03
11:17:04 PM IST     all      3.68      0.00      4.68      0.00      0.00     91.64
11:17:05 PM IST     all      3.37      0.00      4.04      0.00      0.00     92.59
11:17:06 PM IST     all      3.68      0.33      4.35      0.00      0.00     91.64
11:17:07 PM IST     all      4.68      0.00      3.34      0.00      0.00     91.97
11:17:08 PM IST     all      3.97      0.00      5.30      0.00      0.00     90.73
11:17:09 PM IST     all      3.01      0.00      5.02      0.00      0.00     91.97
11:17:10 PM IST     all      3.39      0.34      3.39      0.00      0.00     92.88
11:17:11 PM IST     all      2.68      0.00      5.35      0.00      0.00     91.97
11:17:12 PM IST     all      3.97      0.00      4.97      0.33      0.00     90.73
11:17:13 PM IST     all      2.68      0.00      5.02      0.00      0.00     92.31
11:17:14 PM IST     all      3.65      0.00      5.32      0.33      0.00     90.70
11:17:15 PM IST     all      4.33      0.00      4.00      0.00      0.00     91.67
11:17:16 PM IST     all      3.33      0.00      5.33      0.00      0.00     91.33
11:17:17 PM IST     all      3.04      0.00      4.05      0.00      0.00     92.91
11:17:18 PM IST     all      3.96      0.00      5.94      0.00      0.00     90.10
11:17:19 PM IST     all      4.01      0.00      4.01      0.00      0.00     91.97
11:17:20 PM IST     all      4.35      0.00      4.01      0.00      0.00     91.64
11:17:21 PM IST     all      4.30      0.00      4.64      0.00      0.00     91.06
11:17:22 PM IST     all      4.32      0.00      4.32      0.00      0.00     91.36
11:17:23 PM IST     all      4.30      0.00      4.64      0.00      0.00     91.06
11:17:24 PM IST     all      4.32      0.00      4.65      0.00      0.00     91.03
11:17:25 PM IST     all      3.38      0.00      4.05      0.00      0.00     92.57
11:17:26 PM IST     all      4.38      0.00      3.03      0.00      0.00     92.59
11:17:27 PM IST     all      3.97      0.00      4.64      0.00      0.00     91.39
11:17:28 PM IST     all      4.65      0.00      3.99      0.00      0.00     91.36
11:17:29 PM IST     all      3.02      0.34      5.03      0.00      0.00     91.61
11:17:30 PM IST     all      2.69      0.34      4.04      0.00      0.00     92.93
11:17:31 PM IST     all      4.93      0.00      5.26      0.00      0.00     89.80
11:17:32 PM IST     all      3.37      0.00      4.71      0.00      0.00     91.92
11:17:33 PM IST     all      3.36      0.00      4.03      0.00      0.00     92.62
11:17:34 PM IST     all      4.97      0.00      4.64      0.00      0.00     90.40
11:17:35 PM IST     all      3.67      0.00      4.67      0.00      0.00     91.67
11:17:36 PM IST     all      4.62      0.00      4.62      0.00      0.00     90.76
11:17:37 PM IST     all      4.65      0.00      4.32      0.00      0.00     91.03
11:17:38 PM IST     all     18.71      0.00      8.71      0.00      0.00     72.58
11:17:39 PM IST     all     22.40      0.00     28.25      0.00      0.00     49.35
11:17:40 PM IST     all     89.93      0.00      6.38      0.00      0.00      3.69
11:17:41 PM IST     all     95.99      0.33      0.67      0.00      0.00      3.01
11:17:42 PM IST     all     95.36      0.00      0.33      0.00      0.00      4.30
11:17:43 PM IST     all     94.30      0.00      2.35      0.00      0.00      3.36
11:17:44 PM IST     all     33.11      0.00      3.97      0.00      0.00     62.91
11:17:45 PM IST     all      4.95      0.00      4.62      0.00      0.00     90.43
11:17:46 PM IST     all      5.26      2.30      5.59      1.97      0.00     84.87
11:17:47 PM IST     all      3.96      1.32      5.28      0.00      0.00     89.44
11:17:48 PM IST     all      4.04      0.00      4.04      0.00      0.00     91.92
11:17:49 PM IST     all      4.30      0.00      4.64      0.00      0.00     91.06
11:17:50 PM IST     all      4.71      0.00      3.03      0.00      0.00     92.26
11:17:51 PM IST     all      3.31      0.00      5.63      0.00      0.00     91.06
11:17:52 PM IST     all      3.63      0.00      5.94      0.00      0.00     90.43
11:17:53 PM IST     all      3.03      0.00      4.38      0.00      0.00     92.59
11:17:54 PM IST     all      3.32      0.00      5.98      0.00      0.00     90.70
11:17:55 PM IST     all      5.00      0.00     10.67      0.00      0.00     84.33
11:17:56 PM IST     all     43.14      0.00     25.75      0.00      0.00     31.10
11:17:57 PM IST     all     94.02      0.00      3.65      0.00      0.00      2.33
11:17:58 PM IST     all     93.69      0.00      3.65      0.00      0.00      2.66
11:17:59 PM IST     all     94.93      0.00      2.03      0.00      0.00      3.04
11:18:00 PM IST     all     95.67      0.00      2.00      0.00      0.00      2.33
11:18:01 PM IST     all      9.67      0.33      5.00      0.00      0.00     85.00
11:18:02 PM IST     all      4.29      0.00      5.28      0.00      0.00     90.43
11:18:03 PM IST     all      4.29      0.33      4.95      0.00      0.00     90.43
11:18:04 PM IST     all      4.97      0.00      3.97      0.00      0.00     91.06
11:18:05 PM IST     all      4.33      1.00      6.33      2.00      0.00     86.33
11:18:06 PM IST     all      3.99      0.00      4.32      0.00      0.00     91.69
11:18:07 PM IST     all      3.97      0.00      5.30      0.00      0.00     90.73
11:18:08 PM IST     all      4.92      0.00      4.92      0.00      0.00     90.16
11:18:09 PM IST     all      4.03      0.00      4.03      0.00      0.00     91.95
11:18:10 PM IST     all      3.96      0.00      4.95      0.00      0.00     91.09
11:18:11 PM IST     all      4.65      0.00      4.98      0.00      0.00     90.37
11:18:12 PM IST     all     20.86      0.00     25.50      0.00      0.00     53.64
11:18:13 PM IST     all     93.27      0.00      4.04      0.00      0.00      2.69
11:18:14 PM IST     all     92.98      0.00      3.68      0.00      0.00      3.34
11:18:15 PM IST     all     94.63      0.00      1.68      0.00      0.00      3.69
11:18:16 PM IST     all     94.33      0.00      2.00      0.00      0.00      3.67
11:18:17 PM IST     all     30.41      0.00      3.38      0.00      0.00     66.22
11:18:18 PM IST     all      4.28      0.33      4.61      0.00      0.00     90.79
11:18:19 PM IST     all      3.69      0.00      3.69      0.00      0.00     92.62
11:18:20 PM IST     all      3.72      2.70      8.78      1.69      0.00     83.11
11:18:21 PM IST     all      4.39      0.00      3.38      0.00      0.00     92.23
11:18:22 PM IST     all      4.98      0.00      3.99      0.00      0.00     91.03
11:18:23 PM IST     all      3.00      0.00      5.00      0.00      0.00     92.00
11:18:24 PM IST     all      5.00      0.00      4.33      0.00      0.00     90.67
11:18:25 PM IST     all      3.32      0.00      5.32      0.00      0.00     91.36
11:18:26 PM IST     all      3.69      0.00      4.70      0.00      0.00     91.61
11:18:27 PM IST     all      5.08      0.00      6.10      0.00      0.00     88.81
11:18:28 PM IST     all     42.47      0.00     25.75      0.00      0.00     31.77
11:18:29 PM IST     all     94.58      0.00      2.03      0.00      0.00      3.39
11:18:30 PM IST     all     94.35      0.00      2.66      0.00      0.00      2.99
11:18:31 PM IST     all     95.61      0.00      1.69      0.00      0.00      2.70
11:18:32 PM IST     all     95.05      0.00      2.64      0.00      0.00      2.31
11:18:33 PM IST     all      7.07      0.00      3.70      0.00      0.00     89.23
11:18:34 PM IST     all      2.66      0.33      5.98      0.00      0.00     91.03
11:18:35 PM IST     all      4.65      0.00      4.32      0.00      0.00     91.03
11:18:36 PM IST     all      2.40      0.00      4.11      0.00      0.00     93.49
11:18:37 PM IST     all      4.28      6.58      7.24      1.97      0.00     79.93
11:18:38 PM IST     all      5.07      0.00      2.70      0.00      0.00     92.23
11:18:39 PM IST     all      3.68      0.00      4.01      0.00      0.00     92.31
11:18:40 PM IST     all      4.68      0.00      4.68      0.00      0.00     90.64
11:18:41 PM IST     all      4.32      0.00      3.99      0.00      0.00     91.69
11:18:42 PM IST     all      4.98      0.00      3.99      0.00      0.00     91.03
11:18:43 PM IST     all      3.99      0.00     10.63      0.00      0.00     85.38
11:18:44 PM IST     all     60.67      0.00     20.33      0.00      0.00     19.00
11:18:45 PM IST     all     92.72      0.00      3.64      0.00      0.00      3.64
11:18:46 PM IST     all     94.93      0.00      1.35      0.00      0.00      3.72
11:18:47 PM IST     all     95.02      0.00      1.99      0.00      0.00      2.99
11:18:48 PM IST     all     86.00      0.00      3.00      0.00      0.00     11.00
11:18:49 PM IST     all      4.36      0.00      3.36      0.00      0.00     92.28
11:18:50 PM IST     all      2.69      0.00      4.71      0.00      0.00     92.59
11:18:51 PM IST     all      4.00      0.00      4.67      0.00      0.00     91.33
11:18:52 PM IST     all      4.93      2.30      9.21      2.30      0.00     81.25
11:18:53 PM IST     all      2.97      0.00      6.27      0.00      0.00     90.76
11:18:54 PM IST     all      3.69      0.00      4.70      0.00      0.00     91.61
11:18:55 PM IST     all      3.73      0.00      3.39      0.00      0.00     92.88
11:18:56 PM IST     all      2.99      0.00      5.32      0.00      0.00     91.69
11:18:57 PM IST     all      4.67      0.00      4.67      0.00      0.00     90.67
11:18:58 PM IST     all      1.69      0.00      5.74      0.00      0.00     92.57
11:18:59 PM IST     all      3.97      0.00      4.97      0.00      0.00     91.06
11:19:00 PM IST     all      3.69      0.00      4.70      0.00      0.00     91.61
11:19:01 PM IST     all      4.97      0.00      9.27      0.00      0.00     85.76
11:19:02 PM IST     all     37.58      0.00     27.18      0.00      0.00     35.23
11:19:03 PM IST     all     93.60      0.34      3.03      0.00      0.00      3.03
11:19:04 PM IST     all     95.33      0.00      1.67      0.00      0.00      3.00
11:19:05 PM IST     all     93.98      0.00      3.34      0.00      0.00      2.68
11:19:06 PM IST     all     95.99      0.00      2.01      0.00      0.00      2.01
11:19:07 PM IST     all     11.07      0.00      5.37      0.00      0.00     83.56
11:19:08 PM IST     all      3.03      0.00      3.37      0.34      0.00     93.27
11:19:09 PM IST     all      4.25      0.00      5.56      0.00      0.00     90.20
11:19:10 PM IST     all      4.32      0.00      4.98      0.00      0.00     90.70
11:19:11 PM IST     all      4.95      4.95      7.59      1.98      0.00     80.53
11:19:12 PM IST     all      3.99      0.00      4.32      0.00      0.00     91.69
11:19:13 PM IST     all      3.70      0.00      4.04      0.00      0.00     92.26
11:19:14 PM IST     all      3.04      0.00      4.39      0.00      0.00     92.57
11:19:15 PM IST     all      3.33      0.33      4.67      0.00      0.00     91.67
11:19:16 PM IST     all      4.03      0.00      3.69      0.00      0.00     92.28
11:19:17 PM IST     all      4.62      0.00      4.62      0.00      0.00     90.76
11:19:18 PM IST     all      2.97      0.00      6.27      0.00      0.00     90.76
11:19:19 PM IST     all      4.67      0.00      7.33      0.00      0.00     88.00
11:19:20 PM IST     all     61.00      0.00     22.67      0.00      0.00     16.33
11:19:21 PM IST     all     92.93      0.00      4.38      0.00      0.00      2.69
11:19:22 PM IST     all     93.73      0.00      2.97      0.00      0.00      3.30
11:19:23 PM IST     all     93.62      0.34      2.68      0.00      0.00      3.36
11:19:24 PM IST     all     80.54      0.00      3.02      0.00      0.00     16.44
11:19:25 PM IST     all      3.67      0.33      4.00      0.00      0.00     92.00
11:19:26 PM IST     all      4.35      0.00      3.68      0.00      0.00     91.97
11:19:27 PM IST     all      3.99      0.00      4.65      0.00      0.00     91.36
11:19:28 PM IST     all      5.02      1.34      7.02      1.67      0.00     84.95
11:19:29 PM IST     all      3.63      0.33      5.28      0.00      0.00     90.76
11:19:30 PM IST     all      4.32      0.00      4.98      0.00      0.00     90.70
11:19:31 PM IST     all      4.97      0.00      3.97      0.00      0.00     91.06
11:19:32 PM IST     all      3.33      0.00      5.67      0.00      0.00     91.00
11:19:33 PM IST     all      3.30      0.00      5.61      0.00      0.00     91.09
11:19:34 PM IST     all      3.41      0.00      3.07      0.00      0.00     93.52
11:19:35 PM IST     all      5.59      0.00      7.24      0.00      0.00     87.17
11:19:36 PM IST     all     17.22      0.00     20.86      0.00      0.00     61.92
11:19:37 PM IST     all     89.30      0.00      8.70      0.00      0.00      2.01
11:19:38 PM IST     all     95.32      0.00      1.67      0.00      0.00      3.01
11:19:39 PM IST     all     93.31      0.00      3.68      0.00      0.00      3.01
11:19:40 PM IST     all     95.24      0.00      2.04      0.00      0.00      2.72
11:19:41 PM IST     all     40.66      0.00      4.59      0.00      0.00     54.75
11:19:42 PM IST     all      3.72      0.00      5.07      0.00      0.00     91.22
11:19:43 PM IST     all      4.26      0.00      5.57      0.00      0.00     90.16
11:19:44 PM IST     all      4.04      0.00      3.70      0.00      0.00     92.26
11:19:45 PM IST     all      4.04      4.38      6.73      2.02      0.00     82.83
11:19:46 PM IST     all      3.36      0.00      5.03      0.00      0.00     91.61
11:19:47 PM IST     all      2.98      0.00      5.63      0.00      0.00     91.39
11:19:48 PM IST     all      4.68      0.00      4.68      0.00      0.00     90.64
11:19:49 PM IST     all      3.69      0.00      4.03      0.00      0.00     92.28
11:19:50 PM IST     all      4.29      0.00      4.95      0.00      0.00     90.76
11:19:51 PM IST     all      4.00      0.00      4.00      0.33      0.00     91.67
11:19:52 PM IST     all      3.02      0.00      7.38      0.00      0.00     89.60
11:19:53 PM IST     all     73.91      0.00     21.40      0.00      0.00      4.68
11:19:54 PM IST     all     95.32      0.00      1.00      0.00      0.00      3.68
11:19:55 PM IST     all     94.92      0.00      2.03      0.00      0.00      3.05
11:19:56 PM IST     all     93.67      0.00      2.33      0.00      0.00      4.00
11:19:57 PM IST     all     69.21      0.00      3.64      0.00      0.00     27.15
11:19:58 PM IST     all      3.33      0.00      5.00      0.00      0.00     91.67
11:19:59 PM IST     all      3.33      0.00      4.67      0.00      0.00     92.00
11:20:00 PM IST     all      3.37      0.00      4.38      0.00      0.00     92.26
11:20:01 PM IST     all      4.32      1.33      6.31      2.66      0.00     85.38
11:20:02 PM IST     all      2.69      0.00      5.05      0.00      0.00     92.26
11:20:03 PM IST     all      3.99      0.00      4.98      0.00      0.00     91.03
11:20:04 PM IST     all      3.73      0.00      3.05      0.00      0.00     93.22
11:20:05 PM IST     all      3.32      0.00      5.98      0.00      0.00     90.70
11:20:06 PM IST     all      5.28      0.00      8.91      0.00      0.00     85.81
11:20:07 PM IST     all     31.54      0.00     25.17      0.00      0.00     43.29
11:20:08 PM IST     all     90.57      0.00      6.40      0.00      0.00      3.03
11:20:09 PM IST     all     95.27      0.00      2.03      0.00      0.00      2.70
11:20:10 PM IST     all     93.58      0.00      2.36      0.00      0.00      4.05
11:20:11 PM IST     all     93.71      0.00      2.32      0.00      0.00      3.97
11:20:12 PM IST     all     24.50      0.00      5.70      0.00      0.00     69.80
11:20:13 PM IST     all      4.33      0.00      4.00      0.00      0.00     91.67
11:20:14 PM IST     all      5.00      0.00      3.67      0.00      0.00     91.33
11:20:15 PM IST     all      4.35      0.33      3.01      0.00      0.00     92.31
11:20:16 PM IST     all      4.33      1.67      7.00      2.33      0.00     84.67
11:20:17 PM IST     all      4.03      0.00      3.69      0.00      0.00     92.28
11:20:18 PM IST     all      2.97      0.00      6.27      0.00      0.00     90.76
11:20:19 PM IST     all      3.61      0.33      5.90      0.00      0.00     90.16
11:20:20 PM IST     all      2.36      0.00      5.41      0.00      0.00     92.23
11:20:21 PM IST     all      5.30      0.00      4.30      0.00      0.00     90.40
11:20:22 PM IST     all      3.74      0.00      9.18      0.00      0.00     87.07
11:20:23 PM IST     all     58.19      0.00     24.75      0.00      0.00     17.06
11:20:24 PM IST     all     94.65      0.00      1.00      0.00      0.00      4.35
11:20:25 PM IST     all     93.62      0.00      2.01      0.00      0.00      4.36
11:20:26 PM IST     all     94.52      0.00      1.37      0.00      0.00      4.11
11:20:27 PM IST     all     89.26      0.00      2.68      0.00      0.00      8.05
11:20:28 PM IST     all      3.70      0.00      2.69      0.00      0.00     93.60
11:20:29 PM IST     all      3.64      0.00      5.96      0.00      0.00     90.40
11:20:30 PM IST     all      3.99      0.00      4.65      0.00      0.00     91.36
11:20:31 PM IST     all      5.37      3.69      6.38      1.68      0.00     82.89
11:20:32 PM IST     all      3.96      0.00      5.28      0.00      0.00     90.76
