Linux 5.19.0-45-generic (aicfed) 	29/06/23 	_x86_64_	(4 CPU)

11:17:03 PM IST     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:17:04 PM IST     all      0.25      0.00      0.25      0.00      0.00     99.50
11:17:05 PM IST     all      0.00      0.25      0.75      0.00      0.00     98.99
11:17:06 PM IST     all     25.44      1.50      7.73      0.75      0.00     64.59
11:17:07 PM IST     all      3.01      0.25      0.25      0.00      0.00     96.49
11:17:08 PM IST     all      0.25      0.00      0.75      0.00      0.00     99.00
11:17:09 PM IST     all      0.50      0.00      1.00      0.00      0.00     98.51
11:17:10 PM IST     all      0.25      0.00      0.00      0.00      0.00     99.75
11:17:11 PM IST     all      0.25      0.00      0.25      0.00      0.00     99.50
11:17:12 PM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
11:17:13 PM IST     all      0.00      0.00      0.25      0.00      0.00     99.75
11:17:14 PM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
11:17:15 PM IST     all      0.00      0.25      0.00      0.00      0.00     99.75
11:17:16 PM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
11:17:17 PM IST     all      0.00      0.00      0.25      0.00      0.00     99.75
11:17:18 PM IST     all      0.00      0.00      0.50      0.00      0.00     99.50
11:17:19 PM IST     all      0.25      0.00      0.00      0.00      0.00     99.75
11:17:20 PM IST     all      0.00      0.00      0.50      0.00      0.00     99.50
11:17:21 PM IST     all      0.50      0.00      0.25      0.00      0.00     99.25
11:17:22 PM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
11:17:23 PM IST     all      0.00      0.00      0.25      0.00      0.00     99.75
11:17:24 PM IST     all      0.25      0.00      0.00      0.00      0.00     99.75
11:17:25 PM IST     all      0.25      0.00      0.00      0.00      0.00     99.75
11:17:26 PM IST     all      0.00      0.25      0.00      0.00      0.00     99.75
11:17:27 PM IST     all      0.00      0.25      0.00      0.00      0.00     99.75
11:17:28 PM IST     all      0.25      0.00      0.00      0.00      0.00     99.75
11:17:29 PM IST     all      0.25      0.00      0.50      0.00      0.00     99.25
11:17:30 PM IST     all      0.00      0.00      0.50      0.00      0.00     99.50
11:17:31 PM IST     all      0.00      0.00      0.25      0.00      0.00     99.75
11:17:32 PM IST     all      0.25      0.00      0.00      0.00      0.00     99.75
11:17:33 PM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
11:17:34 PM IST     all      0.25      0.00      0.00      0.00      0.00     99.75
11:17:35 PM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
11:17:36 PM IST     all      0.00      0.00      0.50      0.00      0.00     99.50
11:17:37 PM IST     all      0.00      0.00      0.25      0.00      0.00     99.75
11:17:38 PM IST     all     12.12      0.00      2.78      0.00      0.00     85.10
11:17:39 PM IST     all     32.66      0.00     32.66      0.00      0.00     34.67
11:17:40 PM IST     all     55.09      0.00     37.72      0.00      0.00      7.20
