Linux 5.19.0-45-generic (rachit-virtual-machine) 	29/06/23 	_x86_64_	(4 CPU)

11:17:21 PM IST     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:17:22 PM IST     all      0.25      0.00      0.25      0.00      0.00     99.50
11:17:23 PM IST     all      0.25      0.50      0.75      0.00      0.00     98.50
11:17:24 PM IST     all     17.46      1.00      3.74      2.24      0.00     75.56
11:17:25 PM IST     all      0.00      0.00      0.25      0.00      0.00     99.75
11:17:26 PM IST     all      0.25      0.00      0.00      0.00      0.00     99.75
11:17:27 PM IST     all      0.00      0.50      0.25      0.00      0.00     99.25
11:17:28 PM IST     all      0.00      0.00      0.25      0.00      0.00     99.75
11:17:29 PM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
11:17:30 PM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
11:17:31 PM IST     all      0.25      0.00      0.25      0.00      0.00     99.50
11:17:32 PM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
11:17:33 PM IST     all      0.00      0.00      0.25      0.00      0.00     99.75
11:17:34 PM IST     all      0.50      0.00      0.25      0.00      0.00     99.25
11:17:35 PM IST     all      0.25      0.00      0.25      0.00      0.00     99.50
11:17:36 PM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
11:17:37 PM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
11:17:38 PM IST     all      4.55      0.00      1.77      0.00      0.00     93.69
11:17:39 PM IST     all     25.13      0.25     24.37      0.00      0.00     50.25
11:17:40 PM IST     all     71.17      0.00      7.91      0.00      0.00     20.92
11:17:41 PM IST     all     76.42      0.00      2.07      0.00      0.00     21.50
11:17:42 PM IST     all     78.88      0.00      1.78      0.00      0.00     19.34
11:17:43 PM IST     all     81.86      0.00      1.76      0.00      0.00     16.37
11:17:44 PM IST     all     38.75      0.00      1.25      0.00      0.00     60.00
11:17:45 PM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
11:17:46 PM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
11:17:47 PM IST     all      0.75      1.75      1.00      2.26      0.00     94.24
11:17:48 PM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
11:17:49 PM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
11:17:50 PM IST     all      0.00      0.25      0.25      0.00      0.00     99.50
11:17:51 PM IST     all      0.00      0.25      0.25      0.00      0.00     99.50
11:17:52 PM IST     all      0.00      0.00      0.25      0.00      0.00     99.75
11:17:53 PM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
11:17:54 PM IST     all      0.25      0.00      0.75      0.00      0.00     98.99
11:17:55 PM IST     all      1.26      0.00      1.01      0.00      0.00     97.73
11:17:56 PM IST     all     47.85      0.00     24.56      0.00      0.00     27.59
11:17:57 PM IST     all     76.90      0.00      1.02      0.00      0.00     22.08
11:17:58 PM IST     all     75.06      0.00      4.07      0.00      0.00     20.87
11:17:59 PM IST     all     78.32      0.00      0.77      0.00      0.00     20.92
11:18:00 PM IST     all     84.85      0.00      1.52      0.00      0.00     13.64
11:18:01 PM IST     all      0.25      0.00      0.25      0.00      0.00     99.50
11:18:02 PM IST     all      0.00      0.00      0.25      0.00      0.00     99.75
11:18:03 PM IST     all      0.25      0.00      0.25      0.00      0.00     99.50
11:18:04 PM IST     all      0.50      1.26      1.51      1.51      0.00     95.23
11:18:05 PM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
11:18:06 PM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
11:18:07 PM IST     all      0.00      0.00      0.25      0.00      0.00     99.75
11:18:08 PM IST     all      0.25      0.00      0.25      0.00      0.00     99.50
11:18:09 PM IST     all      0.25      0.00      0.00      0.00      0.00     99.75
11:18:10 PM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
11:18:11 PM IST     all      0.75      0.00      0.50      0.00      0.00     98.75
11:18:12 PM IST     all     22.76      0.00     23.02      0.00      0.00     54.22
11:18:13 PM IST     all     77.44      0.00      3.59      0.00      0.00     18.97
11:18:14 PM IST     all     80.10      0.00      2.02      0.00      0.00     17.88
11:18:15 PM IST     all     78.37      0.00      1.02      0.00      0.00     20.61
11:18:16 PM IST     all     83.08      0.00      1.26      0.00      0.00     15.66
11:18:17 PM IST     all     31.41      0.00      1.01      0.00      0.00     67.59
11:18:18 PM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
11:18:19 PM IST     all      0.25      0.00      0.00      0.00      0.00     99.75
11:18:20 PM IST     all      0.50      0.75      1.50      1.50      0.00     95.74
11:18:21 PM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
11:18:22 PM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
11:18:23 PM IST     all      0.50      0.00      0.25      0.00      0.00     99.25
11:18:24 PM IST     all      0.25      0.00      0.50      0.50      0.00     98.75
11:18:25 PM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
11:18:26 PM IST     all      0.00      0.00      0.25      0.00      0.00     99.75
11:18:27 PM IST     all      0.51      0.00      0.51      0.00      0.00     98.99
11:18:28 PM IST     all     45.76      0.00     23.39      0.00      0.00     30.85
11:18:29 PM IST     all     76.38      0.25      2.76      0.00      0.00     20.60
11:18:30 PM IST     all     76.90      0.00      4.06      0.00      0.00     19.04
11:18:31 PM IST     all     78.17      0.00      1.02      0.00      0.00     20.81
11:18:32 PM IST     all     90.13      0.00      1.01      0.00      0.00      8.86
11:18:33 PM IST     all      1.76      0.00      1.26      0.00      0.00     96.98
11:18:34 PM IST     all      0.00      0.00      0.25      0.00      0.00     99.75
11:18:35 PM IST     all      0.25      0.00      0.00      0.00      0.00     99.75
11:18:36 PM IST     all      0.50      1.49      1.00      1.49      0.00     95.52
11:18:37 PM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
11:18:38 PM IST     all      0.25      0.00      0.00      0.00      0.00     99.75
11:18:39 PM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
11:18:40 PM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
11:18:41 PM IST     all      0.50      0.00      0.25      0.00      0.00     99.25
11:18:42 PM IST     all      0.00      0.00      0.25      0.00      0.00     99.75
11:18:43 PM IST     all      1.01      0.00      1.52      0.00      0.00     97.47
11:18:44 PM IST     all     54.31      0.00     22.34      0.00      0.00     23.35
11:18:45 PM IST     all     75.70      0.00      3.07      0.00      0.00     21.23
11:18:46 PM IST     all     77.58      0.00      0.77      0.00      0.00     21.65
11:18:47 PM IST     all     75.51      0.00      2.78      0.00      0.00     21.72
11:18:48 PM IST     all     79.25      0.00      2.00      0.00      0.00     18.75
11:18:49 PM IST     all      0.00      0.00      0.25      0.00      0.00     99.75
11:18:50 PM IST     all      0.25      0.00      0.00      0.00      0.00     99.75
11:18:51 PM IST     all      0.00      0.00      0.50      0.00      0.00     99.50
11:18:52 PM IST     all      0.51      1.78      1.78      1.78      0.00     94.16
11:18:53 PM IST     all      0.00      0.00      0.25      0.00      0.00     99.75
11:18:54 PM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
11:18:55 PM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
11:18:56 PM IST     all      0.50      0.00      0.50      0.00      0.00     99.00
11:18:57 PM IST     all      0.25      0.00      0.00      0.00      0.00     99.75
11:18:58 PM IST     all      0.00      0.00      0.25      0.00      0.00     99.75
11:18:59 PM IST     all      0.00      0.00      0.50      0.00      0.00     99.50
11:19:00 PM IST     all      0.00      0.00      0.25      0.00      0.00     99.75
11:19:01 PM IST     all      0.50      0.00      0.25      0.00      0.00     99.24
11:19:02 PM IST     all     38.60      0.00     25.31      0.00      0.00     36.09
11:19:03 PM IST     all     75.32      0.00      4.88      0.00      0.00     19.79
11:19:04 PM IST     all     76.79      0.00      1.28      0.00      0.00     21.94
11:19:05 PM IST     all     78.99      0.00      1.27      0.00      0.00     19.75
11:19:06 PM IST     all     88.01      0.00      0.00      0.00      0.00     11.99
11:19:07 PM IST     all     11.78      0.00      1.25      0.00      0.00     86.97
11:19:08 PM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
11:19:09 PM IST     all      0.25      0.00      0.25      0.00      0.00     99.50
11:19:10 PM IST     all      0.25      2.26      1.26      2.01      0.00     94.22
11:19:11 PM IST     all      0.75      0.00      0.25      0.00      0.00     99.00
11:19:12 PM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
11:19:13 PM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
11:19:14 PM IST     all      0.25      0.00      0.50      0.00      0.00     99.25
11:19:15 PM IST     all      0.00      0.00      0.25      0.00      0.00     99.75
11:19:16 PM IST     all      0.25      0.00      0.25      0.00      0.00     99.50
11:19:17 PM IST     all      0.00      0.00      0.25      0.00      0.00     99.75
11:19:18 PM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
11:19:19 PM IST     all      5.34      0.00      2.29      0.00      0.00     92.37
11:19:20 PM IST     all     59.24      0.00     23.80      0.00      0.00     16.96
11:19:21 PM IST     all     80.05      0.00      1.01      0.00      0.00     18.94
11:19:22 PM IST     all     77.97      0.00      0.51      0.00      0.00     21.52
11:19:23 PM IST     all     78.17      0.00      1.27      0.00      0.00     20.56
11:19:24 PM IST     all     63.45      0.00      1.78      0.00      0.00     34.77
11:19:25 PM IST     all      0.00      0.00      0.25      0.00      0.00     99.75
11:19:26 PM IST     all      0.25      0.00      0.00      0.00      0.00     99.75
11:19:27 PM IST     all      0.25      0.00      0.00      0.00      0.00     99.75
11:19:28 PM IST     all      0.75      1.75      1.50      1.50      0.00     94.50
11:19:29 PM IST     all      0.00      0.00      0.25      0.00      0.00     99.75
11:19:30 PM IST     all      0.50      0.00      0.00      0.00      0.00     99.50
11:19:31 PM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
11:19:32 PM IST     all      0.00      0.25      0.25      0.00      0.00     99.50
11:19:33 PM IST     all      0.25      0.25      0.25      0.00      0.00     99.25
11:19:34 PM IST     all      0.25      0.00      0.00      0.00      0.00     99.75
11:19:35 PM IST     all      0.25      0.00      0.50      0.00      0.00     99.25
11:19:36 PM IST     all     23.41      0.00     23.41      0.00      0.00     53.18
11:19:37 PM IST     all     75.00      0.00      3.35      0.00      0.00     21.65
11:19:38 PM IST     all     76.87      0.00      2.49      0.00      0.00     20.65
11:19:39 PM IST     all     77.75      0.00      2.05      0.00      0.00     20.20
11:19:40 PM IST     all     81.01      0.00      1.27      0.00      0.00     17.72
11:19:41 PM IST     all     31.23      0.00      0.76      0.00      0.00     68.01
11:19:42 PM IST     all      0.00      0.00      0.25      0.00      0.00     99.75
11:19:43 PM IST     all      0.00      0.00      0.25      0.00      0.00     99.75
11:19:44 PM IST     all      0.00      2.01      1.75      2.01      0.00     94.24
11:19:45 PM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
11:19:46 PM IST     all      0.25      0.00      0.00      0.00      0.00     99.75
11:19:47 PM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
11:19:48 PM IST     all      0.25      0.00      0.25      0.00      0.00     99.50
11:19:49 PM IST     all      0.00      0.00      0.25      0.00      0.00     99.75
11:19:50 PM IST     all      0.25      0.00      0.00      0.00      0.00     99.75
11:19:51 PM IST     all      0.00      0.00      0.25      0.00      0.00     99.75
11:19:52 PM IST     all     10.05      0.00      5.28      0.00      0.00     84.67
11:19:53 PM IST     all     58.72      0.00     23.85      0.00      0.00     17.44
11:19:54 PM IST     all     79.44      0.00      1.52      0.00      0.00     19.04
11:19:55 PM IST     all     77.18      0.00      3.08      0.00      0.00     19.74
11:19:56 PM IST     all     78.88      0.00      2.04      0.00      0.00     19.08
11:19:57 PM IST     all     61.40      0.00      1.75      0.00      0.00     36.84
11:19:58 PM IST     all      0.00      0.00      0.25      0.00      0.00     99.75
11:19:59 PM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
11:20:00 PM IST     all      0.25      0.00      0.00      0.00      0.00     99.75
11:20:01 PM IST     all      0.25      1.76      1.01      1.76      0.00     95.23
