Linux 4.15.0-211-generic (133414165dce) 	06/29/23 	_x86_64_	(96 CPU)

22:43:57        CPU     %user     %nice   %system   %iowait    %steal     %idle
22:43:58        all      0.19      0.02      0.92      0.00      0.00     98.87
22:43:59        all      0.22      0.00      0.90      0.00      0.00     98.88
22:44:00        all      1.14      0.01      0.98      0.00      0.00     97.87
22:44:01        all      0.21      0.00      0.91      0.00      0.00     98.88
22:44:02        all      0.58      0.03      2.01      0.00      0.00     97.37
22:44:03        all      0.17      0.01      0.95      0.00      0.00     98.87
22:44:04        all      0.21      0.00      0.91      0.00      0.00     98.88
22:44:05        all      0.21      0.02      0.89      0.00      0.00     98.88
22:44:06        all      0.22      0.01      0.91      0.00      0.00     98.86
22:44:07        all      0.23      0.01      0.87      0.00      0.00     98.89
22:44:08        all      0.19      0.01      0.96      0.00      0.00     98.84
22:44:09        all      0.25      0.01      0.84      0.00      0.00     98.90
22:44:10        all      0.18      0.01      0.95      0.00      0.00     98.86
22:44:11        all      0.25      0.02      0.89      0.00      0.00     98.84
22:44:12        all      0.66      0.01      1.85      0.00      0.00     97.48
22:44:13        all      0.24      0.01      0.90      0.00      0.00     98.85
22:44:14        all      0.21      0.01      0.90      0.00      0.00     98.88
22:44:15        all      0.21      0.02      0.92      0.00      0.00     98.85
22:44:16        all      0.21      0.00      0.90      0.00      0.00     98.89
22:44:17        all      0.27      0.02      0.86      0.00      0.00     98.85
22:44:18        all      0.20      0.01      0.91      0.00      0.00     98.88
22:44:19        all      0.25      0.00      0.86      0.00      0.00     98.89
22:44:20        all      0.20      0.03      0.92      0.00      0.00     98.85
22:44:21        all      0.20      0.02      0.92      0.00      0.00     98.86
22:44:22        all      0.68      0.01      1.91      0.00      0.00     97.40
22:44:23        all      0.21      0.02      0.92      0.00      0.00     98.85
22:44:24        all      0.21      0.02      0.93      0.00      0.00     98.84
22:44:25        all      0.13      0.01      0.98      0.00      0.00     98.88
22:44:26        all      0.25      0.01      0.87      0.00      0.00     98.87
22:44:27        all      0.21      0.01      0.91      0.00      0.00     98.87
22:44:28        all      0.21      0.02      0.91      0.00      0.00     98.86
22:44:29        all      0.21      0.00      0.92      0.00      0.00     98.87
22:44:30        all      0.21      0.02      0.90      0.00      0.00     98.87
22:44:31        all      0.21      0.02      0.89      0.00      0.00     98.88
22:44:32        all      0.60      0.01      1.86      0.00      0.00     97.53
22:44:33        all      0.22      0.01      0.90      0.00      0.00     98.87
22:44:34        all      0.24      0.02      0.88      0.00      0.00     98.86
22:44:35        all      0.24      0.02      0.89      0.00      0.00     98.85
22:44:36        all      0.25      0.01      0.90      0.00      0.00     98.84
22:44:37        all      0.21      0.01      0.91      0.00      0.00     98.87
22:44:38        all      0.23      0.02      0.87      0.00      0.00     98.88
22:44:39        all      0.19      0.01      0.93      0.00      0.00     98.87
22:44:40        all      0.21      0.01      0.92      0.00      0.00     98.86
22:44:41        all      0.21      0.00      0.92      0.00      0.00     98.87
22:44:42        all      0.67      0.02      1.82      0.00      0.00     97.49
22:44:43        all      0.21      0.01      0.93      0.00      0.00     98.85
22:44:44        all      0.20      0.01      0.94      0.00      0.00     98.85
22:44:45        all      0.19      0.02      0.90      0.00      0.00     98.89
22:44:46        all      0.24      0.01      0.85      0.00      0.00     98.90
22:44:47        all      0.22      0.01      0.90      0.00      0.00     98.87
22:44:48        all      0.17      0.00      0.98      0.00      0.00     98.85
22:44:49        all      0.20      0.04      0.94      0.00      0.00     98.82
22:44:50        all      0.22      0.00      0.91      0.00      0.00     98.87
22:44:51        all      0.21      0.02      0.91      0.00      0.00     98.86
22:44:52        all      0.67      0.01      1.90      0.00      0.00     97.42
22:44:53        all      0.26      0.01      0.92      0.00      0.00     98.81
22:44:54        all      0.65      0.00      1.45      0.07      0.00     97.83
22:44:55        all      0.21      0.01      0.91      0.00      0.00     98.87
22:44:56        all      0.19      0.01      0.92      0.00      0.00     98.88
22:44:57        all      0.22      0.02      0.90      0.00      0.00     98.86
22:44:58        all      0.18      0.01      0.94      0.00      0.00     98.87
22:44:59        all      0.20      0.01      0.93      0.00      0.00     98.86
22:45:00        all      0.27      0.01      0.88      0.00      0.00     98.84
22:45:01        all      0.19      0.01      0.91      0.00      0.00     98.89
22:45:02        all      0.56      0.01      1.88      0.00      0.00     97.55
22:45:03        all      0.20      0.01      0.95      0.00      0.00     98.84
22:45:04        all      0.19      0.01      0.93      0.00      0.00     98.87
22:45:05        all      0.20      0.02      0.92      0.00      0.00     98.86
22:45:06        all      0.21      0.01      0.90      0.00      0.00     98.88
22:45:07        all      0.20      0.01      0.95      0.00      0.00     98.84
22:45:08        all      0.15      0.03      0.98      0.00      0.00     98.84
22:45:09        all      0.28      0.00      0.87      0.00      0.00     98.85
22:45:10        all      0.18      0.01      0.98      0.00      0.00     98.83
22:45:11        all      0.22      0.01      0.87      0.00      0.00     98.90
22:45:12        all      0.67      0.02      1.84      0.00      0.00     97.48
22:45:13        all      0.23      0.01      0.95      0.00      0.00     98.81
22:45:14        all      0.24      0.01      0.93      0.00      0.00     98.82
22:45:15        all      0.21      0.00      0.90      0.00      0.00     98.89
22:45:16        all      0.21      0.02      0.93      0.00      0.00     98.84
22:45:17        all      0.17      0.02      0.94      0.00      0.00     98.87
22:45:18        all      0.21      0.00      0.91      0.00      0.00     98.88
22:45:19        all      0.24      0.01      0.92      0.00      0.00     98.83
22:45:20        all      0.18      0.01      0.93      0.00      0.00     98.88
22:45:21        all      0.23      0.01      0.91      0.00      0.00     98.85
22:45:22        all      0.59      0.01      1.90      0.00      0.00     97.50
22:45:23        all      0.18      0.01      0.93      0.00      0.00     98.88
22:45:24        all      0.20      0.02      0.94      0.00      0.00     98.84
22:45:25        all      0.20      0.01      0.90      0.00      0.00     98.89
22:45:26        all      0.19      0.02      0.93      0.00      0.00     98.86
22:45:27        all      0.18      0.01      0.95      0.00      0.00     98.86
22:45:28        all      0.19      0.01      0.97      0.00      0.00     98.83
22:45:29        all      0.21      0.01      0.93      0.00      0.00     98.85
22:45:30        all      0.21      0.01      0.93      0.00      0.00     98.85
22:45:31        all      0.20      0.01      0.90      0.00      0.00     98.89
22:45:32        all      0.63      0.01      1.84      0.00      0.00     97.52
22:45:33        all      0.23      0.01      0.88      0.00      0.00     98.88
22:45:34        all      0.19      0.03      0.91      0.00      0.00     98.87
22:45:35        all      0.23      0.00      0.87      0.00      0.00     98.90
22:45:36        all      0.17      0.02      0.94      0.00      0.00     98.87
22:45:37        all      0.23      0.01      0.90      0.00      0.00     98.86
22:45:38        all      0.19      0.01      0.92      0.00      0.00     98.88
22:45:39        all      0.18      0.01      0.96      0.00      0.00     98.85
22:45:40        all      1.18      0.02      0.94      0.00      0.00     97.86
22:45:41        all      0.32      0.02      1.00      0.00      0.00     98.65
22:45:42        all      0.65      0.01      1.99      0.00      0.00     97.35
22:45:43        all      0.23      0.02      0.94      0.00      0.00     98.81
22:45:44        all      0.17      0.01      0.92      0.00      0.00     98.90
22:45:45        all      0.23      0.02      0.89      0.00      0.00     98.86
22:45:46        all      0.19      0.02      0.91      0.00      0.00     98.88
22:45:47        all      0.25      0.02      0.92      0.00      0.00     98.81
22:45:48        all      0.23      0.01      0.88      0.00      0.00     98.88
22:45:49        all      0.16      0.02      0.94      0.00      0.00     98.88
22:45:50        all      0.23      0.02      0.87      0.00      0.00     98.88
22:45:51        all      0.19      0.01      0.93      0.00      0.00     98.87
22:45:52        all      0.60      0.01      1.92      0.00      0.00     97.47
22:45:53        all      0.22      0.02      0.90      0.00      0.00     98.86
22:45:54        all      0.48      0.01      1.33      0.02      0.00     98.16
22:45:55        all      0.41      0.01      1.11      0.05      0.00     98.42
22:45:56        all      4.23      0.01      1.02      0.00      0.00     94.74
22:45:57        all     50.53      0.01      3.60      0.00      0.00     45.87
22:45:58        all     12.41      0.01      1.33      0.00      0.00     86.25
22:45:59        all      3.36      0.00      1.15      0.00      0.00     95.49
22:46:00        all      9.46      0.01      0.96      0.00      0.00     89.57
22:46:01        all      9.43      0.01      0.92      0.00      0.00     89.64
22:46:02        all      7.06      0.01      1.77      0.00      0.00     91.16
22:46:03        all      8.01      0.01      0.94      0.00      0.00     91.04
22:46:04        all      8.61      0.01      0.96      0.00      0.00     90.42
22:46:05        all      7.58      0.01      0.96      0.00      0.00     91.45
22:46:06        all      0.24      0.01      0.88      0.00      0.00     98.87
22:46:07        all      0.16      0.01      0.94      0.00      0.00     98.89
22:46:08        all      0.19      0.01      0.92      0.00      0.00     98.88
22:46:09        all      0.23      0.02      0.91      0.00      0.00     98.84
22:46:10        all      0.19      0.02      0.97      0.00      0.00     98.82
22:46:11        all      0.21      0.02      0.90      0.00      0.00     98.87
22:46:12        all      0.60      0.03      1.93      0.00      0.00     97.44
22:46:13        all     28.41      0.01      3.44      0.00      0.00     68.14
22:46:14        all     32.34      0.02      1.49      0.00      0.00     66.15
