Linux 5.19.0-45-generic (aicfed-virtual-machine) 	30/06/23 	_x86_64_	(4 CPU)

01:08:25 AM IST     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:08:26 AM IST     all      0.00      0.00      0.25      0.00      0.00     99.75
01:08:27 AM IST     all      0.75      1.00      0.75      1.00      0.00     96.51
01:08:28 AM IST     all     18.80      0.50      6.02      6.77      0.00     67.92
01:08:29 AM IST     all      4.25      0.25      3.75     42.00      0.00     49.75
01:08:30 AM IST     all      4.74      0.75      2.99     41.65      0.00     49.88
01:08:31 AM IST     all      3.85      0.00      1.79     43.59      0.00     50.77
01:08:32 AM IST     all      3.76      0.50      5.01     40.85      0.00     49.87
01:08:33 AM IST     all      2.91      0.58      4.94     38.95      0.00     52.62
01:08:34 AM IST     all      3.04      0.51      3.29     42.78      0.00     50.38
01:08:35 AM IST     all      9.21      1.05      5.79     33.68      0.00     50.26
01:08:36 AM IST     all      2.27      1.52      9.85      4.55      0.00     81.82
01:08:37 AM IST     all      0.00      0.00      0.25      0.00      0.00     99.75
01:08:38 AM IST     all      0.25      0.00      0.00      0.00      0.00     99.75
01:08:39 AM IST     all      0.00      0.75      0.50      0.00      0.00     98.74
01:08:40 AM IST     all      0.25      0.00      0.25      0.00      0.00     99.50
01:08:41 AM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
01:08:42 AM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
01:08:43 AM IST     all      0.25      0.00      0.00      0.00      0.00     99.75
01:08:44 AM IST     all      0.00      0.00      0.25      0.00      0.00     99.75
01:08:45 AM IST     all      0.00      0.00      0.50      0.00      0.00     99.50
01:08:46 AM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
01:08:47 AM IST     all      0.00      0.00      0.25      0.00      0.00     99.75
01:08:48 AM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
01:08:49 AM IST     all      0.25      0.00      0.75      0.00      0.00     99.00
01:08:50 AM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
01:08:51 AM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
01:08:52 AM IST     all      0.25      0.00      0.00      0.00      0.00     99.75
01:08:53 AM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
01:08:54 AM IST     all      0.25      0.00      0.50      0.00      0.00     99.25
01:08:55 AM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
01:08:56 AM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
01:08:57 AM IST     all      0.25      0.00      0.25      0.00      0.00     99.50
01:08:58 AM IST     all      0.50      0.00      0.76      0.00      0.00     98.74
01:08:59 AM IST     all     11.83      0.00     16.97      0.00      0.00     71.21
01:09:00 AM IST     all      3.63      0.00      9.33      0.00      0.00     87.05
01:09:01 AM IST     all      5.76      0.00     12.30      0.00      0.00     81.94
01:09:02 AM IST     all      1.84      0.00      6.32      0.00      0.00     91.84
01:09:03 AM IST     all      8.27      0.00      7.49      0.00      0.00     84.24
01:09:04 AM IST     all      3.70      0.00      7.94      0.00      0.00     88.36
01:09:05 AM IST     all      0.00      0.00      4.47      0.00      0.00     95.53
01:09:06 AM IST     all      4.28      0.00      6.05      0.00      0.00     89.67
01:09:07 AM IST     all      4.12      0.00      5.15      0.00      0.00     90.72
01:09:08 AM IST     all      4.95      0.00      4.69      0.00      0.00     90.36
01:09:09 AM IST     all      4.44      0.00      4.96      0.00      0.00     90.60
01:09:10 AM IST     all      4.20      0.00      8.14      0.00      0.00     87.66
01:09:11 AM IST     all      4.64      0.00      4.12      0.00      0.00     91.24
01:09:12 AM IST     all      4.24      0.00      7.43      0.00      0.00     88.33
01:09:13 AM IST     all      4.18      0.00      3.92      0.00      0.00     91.91
01:09:14 AM IST     all      3.90      0.00      5.71      0.00      0.00     90.39
01:09:15 AM IST     all      4.31      0.00      7.11      0.00      0.00     88.58
01:09:16 AM IST     all      4.17      0.00      3.91      0.00      0.00     91.93
01:09:17 AM IST     all      4.33      0.00      8.40      0.00      0.00     87.28
01:09:18 AM IST     all      3.66      0.00      4.97      0.00      0.00     91.36
01:09:19 AM IST     all      4.50      0.00      6.75      0.00      0.00     88.75
01:09:20 AM IST     all      4.58      0.00      7.38      0.00      0.00     88.04
01:09:21 AM IST     all      3.85      0.00      6.15      0.00      0.00     90.00
